,question,response,answer,p_true,true_answer,correct
58,Which of the following is recommended in a woman with Antiphospholipid Antibodies and history of prior aboions / still bih.,"Here's the reasoning:

Antiphospholipid antibodies (aPL) significantly increase the risk of blood clots, which can lead to complications like pregnancy loss (as seen in the patient's history). 

* **Aspirin alone (A)** is a blood thinner, but it's not strong enough to adequately prevent clots in women with aPL.

* **Aspirin + Low molecular weight Heparin (B)** is the standard treatment for women with aPL and a history of pregnancy complications. Heparin is a stronger anticoagulant than aspirin and provides better protection against clots.

* **Aspirin + Low molecular weight Heparin + Prednisolone (C)** While prednisolone is an immunosuppressant sometimes used in severe cases of aPL, it's not routinely recommended as first-line treatment.

* **No Treatment (D)** is absolutely not recommended as it would significantly increase the risk of further complications.

**The final answer is B** 
",B,0.9999953363232541,B,True
59,Best investigation when there is clinical suspicion of pulmonary embolism in a patient is-,"The best investigation for suspected pulmonary embolism (PE) is **B: Multidetector CT angiography**. Here's why:

* **Multidetector CT angiography (MDCTA)** provides highly sensitive and specific imaging of the pulmonary arteries, allowing for direct visualization of blood clots. 

Let's look at why the other options are less ideal:

* **A: D-Dimer Assay:** While elevated D-dimer levels can suggest a clotting event, they are not specific to PE and can be elevated in other conditions. A normal D-dimer helps rule out PE, but a positive result requires further investigation.
* **C: Doppler ultrasound:** Doppler ultrasound can assess for deep vein thrombosis (DVT), a common source of PE.  However, it's not as effective at visualizing PE directly in the lungs.
* **D: Catheter angiography:** This is an invasive procedure used to definitively diagnose PE but is generally reserved for cases where the diagnosis is uncertain after other tests or when therapeutic intervention is needed.

**The final answer is B**. 


",B,0.9999977551982872,B,True
60,Torsades de pointes causes?,"Torsades de pointes is a type of dangerous heart rhythm abnormality characterized by twisting, polymorphic ventricular tachycardia.  

A prolonged QT interval on an electrocardiogram (ECG) is a major risk factor for torsades de pointes.

**The final answer is C** 
",C,0.9999959834746377,C,True
61,Where is thermogenin located?,"Thermogenin is a protein found in the inner mitochondrial membrane. 

The final answer is C.  
",C,0.9999851368180432,C,True
62,What is the recommended isolation period of Hepatitis A from the initial onset of symptoms?,"Hepatitis A is spread through contaminated food and water, or close contact with an infected person.  The virus is primarily shed in the feces.  

The recommended isolation period for someone with Hepatitis A is **until they have had two consecutive days of negative stool tests**, which typically occurs around **2 weeks** after symptom onset.  


The final answer is B. 
",B,0.9800947651551736,B,True
63,H. Influenzae true statement is/are,"Here's the breakdown:

* **H. Influenzae** is a gram-negative bacterium known for its characteristic capsule.

Let's analyze each option:

* **A: Capsulated coccobacilli, shows pleomorphism.**  This is **true**.  H. influenzae are typically described as small, oval-shaped (coccobacilli) bacteria with a capsule. They can exhibit some variation in shape (pleomorphism).
* **B: Stained by Loeffler's methylene blue/Dilute carbol fuchsin.** This is **false**. Loeffler's methylene blue is used to stain  *Corynebacterium diphtheriae*, while dilute carbol fuchsin is used for *Mycobacterium tuberculosis*.  Gram staining is the standard method for H. influenzae.
* **C: Shows satellitism (dependent upon V factor).** This is **true**.  H. influenzae type b (Hib) is known to exhibit satellitism around colonies of  *Staphylococcus aureus* because it requires the V factor (NAD) produced by Staph aureus for growth.
* **D: All of the above** Since option B is false, this is also **false**.



The final answer is C.",C,0.9992891393486761,D,False
64,"Troponin-T is preferable to CPK-MB in the diagnosis of acute myocardial infarction (MI) in all of the following situations, EXCEPT:","Here's the reasoning:

* **Troponin-T** is a more sensitive and specific marker for myocardial injury compared to CPK-MB.  

Let's analyze each option:

* **A: Bedside diagnosis of MI:** Troponin-T is preferred for bedside diagnosis due to its rapid rise and longer detection window.
* **B: Postoperatively (after CABG):**  CPK-MB can be elevated after CABG surgery, while Troponin-T is less likely to be falsely elevated.  
* **C: Reinfarction after 4 days:** Troponin-T remains elevated for a longer period than CPK-MB, making it more useful for detecting reinfarction.
* **D: Small infarcts:** Troponin-T is more sensitive and can detect even small myocardial infarctions.

**The final answer is B** 


",B,0.9999230644419518,C,False
65,Which of the following variabls is measure on ordinal scale-,"Here's the reasoning:

* **Ordinal scale** data has categories that can be ranked or ordered, but the differences between categories are not necessarily equal.

Let's analyze each option:

* **A: Type of anemia:**  This categorizes anemia into types (e.g., iron-deficiency, sickle cell, etc.). These types can be listed, but the difference between them isn't measurable in a consistent way. 
* **B: Severity of anemia:** This often uses categories like mild, moderate, or severe.  These categories represent an order of increasing severity, making it ordinal.
* **C: Hemoglobin:** This is a continuous measure, meaning it can take on any value within a range. It's measured on an interval scale.
* **D: Serum ferritin:** This is also a continuous measure of a biochemical value and is measured on an interval scale.

The final answer is B. 


",B,0.9999733452457387,B,True
66,For gold inlays gingival margin finish line should be,"The best finish line for a gold inlay at the gingival margin is a **chamfer preparation**. 

Here's why:

* **Chamfer:** Creates a smooth, beveled edge that is less prone to plaque accumulation and microleakage, which are both important for the longevity of the restoration.

Let's look at why the other options are not ideal:

* **Shoulder:**  A shoulder preparation can be too abrupt and may cause irritation to the surrounding gingiva.
* **Bevel:** A bevel can be too thin and susceptible to chipping or fracture.
* **Knife edge:** A knife edge is very thin and fragile, making it unsuitable for the functional demands of an inlay.

The final answer is B. 


",B,0.9998866960632539,C,False
67,Auerbachs plexus is present in the -,"Auerbach's plexus, also known as the myenteric plexus, is a network of nerves found in the walls of the digestive tract.  It's responsible for controlling the muscles involved in peristalsis, the wave-like contractions that move food through the digestive system.  

Auerbach's plexus is found throughout the entire length of the digestive tract, including:

* **Esophagus**
* **Stomach**
* **Colon**

The final answer is D. 


",D,0.9999653664346829,D,True
68,Which acts on nuclear receptors,"Here's the breakdown:

* **Nuclear receptors** are proteins found inside cells that bind to steroid hormones and other lipophilic molecules. This binding triggers changes in gene expression.

Let's look at the options:

* **A: Glucocorticoids** (like cortisol) are steroid hormones that directly bind to glucocorticoid receptors in the nucleus, influencing gene expression.
* **B: Thyroxine** (T4 and T3) are thyroid hormones. While they affect gene expression, they work through a different mechanism involving binding to intracellular receptors and altering the activity of transcription factors.
* **C: Progesterone** is a steroid hormone that binds to progesterone receptors in the nucleus, modulating gene expression.
* **D: Insulin** is a peptide hormone that acts primarily by binding to receptors on the cell surface, triggering a cascade of intracellular signaling events. It does not directly act on nuclear receptors.


The final answer is **A** 
",,0.9999301230575725,B,
69,Hyperfractionation radiotherapy is used in the management of –,"Hyperfractionation radiotherapy is a technique that delivers smaller doses of radiation more frequently over a longer period.  

It's particularly useful for tumors sensitive to radiation but also at risk for damage to surrounding healthy tissue.  

**Seminoma** is a type of testicular cancer that is highly responsive to radiation therapy and often benefits from hyperfractionation to minimize side effects.

The final answer is C. 
",C,0.9999055929480589,A,False
